Ticker,Name
ADV,ADVA Optical Networking SE
AFX,Carl Zeiss Meditec AG
AIXA,Aixtron SE
BC8,Bechtle AG
COK,Cancom SE
COP,CompuGroup Medical AG
DLG,Dialog Semiconductor Plc
DRI,Drillisch Aktiengesellschaft
DRW3,Dragerwerk AG & Co. KGaA
EVT,Evotec AG
FNTN,freenet AG
GFT,GFT Technologies AG
JEN,Jenoptik AG
LPK,LPKF Laser & Electronics AG
MOR,Morphosys AG
NDX1,Nordex SE
NEM,Nemetschek AG
O1BC,XING AG
O2D,Telefónica Deutschland Holding AG
PFV,Pfeiffer Vacuum Technology AG
QIA,Qiagen NV
QSC,QSC AG
RIB,RIB Software AG
S92,SMA Solar Technology AG
SBS,STRATEC Biomedical AG
SOW,Software Aktiengesellschaft
SRT3,Sartorius Aktiengesellschaft
UTDI,United Internet AG
WAF,Siltronic AG
WDI,Wirecard AG
ADS,Adidas AG
ALV,Allianz SE
BAS,BASF SE
BAYN,Bayer AG
BEI,Beiersdorf AG
BMW,Bayerische Motoren Werke Aktiengesellschaft
CBK,Commerzbank AG
CON,Continental Aktiengesellschaft
DAI,Daimler AG
DB1,Deutsche Boerse AG
DBK,Deutsche Bank AG
DPW,Deutsche Post AG
DTE,Deutsche Telekom AG
EOAN,E.ON SE
FME,Fresenius Medical Care AG & Co. KGAA
FRE,Fresenius SE & Co KGaA
HEI,HeidelbergCement AG
HEN3,Henkel AG & Co. KGaA
IFX,Infineon Technologies AG
LHA,Deutsche Lufthansa Aktiengesellschaft
LIN,Linde Aktiengesellschaft
MRK,Merck KGaA
MUV2,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft
RWE,RWE AG
SAP,SAP SE
SDF,K+S Aktiengesellschaft
SIE,Siemens Aktiengesellschaft
TKA,ThyssenKrupp AG
VNA,VONOVIA N
VOW3,Volkswagen AG
1COV,Covestro AG
AIR,AIRBUS GROUP
ARL,Aareal Bank AG
BNR,Brenntag AG
BOSS,Hugo Boss AG
DEQ,Deutsche Euroshop AG
DUE,Dürr Aktiengesellschaft
DWNI,Deutsche Wohnen AG
EVD,CTS Eventim AG & Co. KGaA
EVK,Evonik Industries AG
FIE,Fielmann Aktiengesellschaft
FPE3,Fuchs Petrolub SE
FRA,Fraport AG
G1A,GEA Group Aktiengesellschaft
GBF,Bilfinger SE
GIL,DMG Mori AG
GXI,Gerresheimer AG
HLE,Hella KGaA Hueck & Co.
HNR1,Hannover Rück SE
HOT,Hochtief AG
JUN3,Jungheinrich AG
KCO,Klöckner & Co SE
KGX,KION GROUP AG
KRN,Krones AG
KU2,KUKA Aktiengesellschaft
LEG,LEG Immobilien AG
LEO,LEONI AG
LXS,Lanxess AG
MEO,METRO AG
MTX,MTU Aero Engines AG
NDA,Aurubis AG
NOEJ,NORMA Group SE
OSR,OSRAM Licht AG
PBB,Deutsche Pfandbriefbank AG
PSM,ProSiebenSat.1 Media SE
RHK,Rhön-Klinikum Aktiengesellschaft
RHM,Rheinmetall AG
RRTL,RTL GROUP
SAX,StrÃ¶er SE
SAZ,Stada-Arzneimittel AG
SPR,Axel Springer SE
SY1,Symrise AG
SZG,Salzgitter AG
SZU,Suedzucker AG
TEG,TAG Immobilien AG.
TLX,Talanx AG
WCH,Wacker Chemie AG
WIN,Wincor Nixdorf Aktiengesellschaft
ZAL,Zalando SE
ZIL2,ElringKlinger AG
