Ticker, Quandl Code, Name
02P,YAHOO/DE_02P,PEARL GOLD
1P2,YAHOO/DE_1P2,PROPHECY COAL
1PL,YAHOO/DE_1PL,POWERLAND
1VS,YAHOO/DE_1VS,VASSETI (UK)
2GB,YAHOO/DE_2GB,2G ENERGY 
2GI,YAHOO/DE_2GI,GIEAG 
2HR,YAHOO/DE_2HR,H&R 
3GOK,YAHOO/DE_3GOK,GLOBAL OIL&GAS
3RB,YAHOO/DE_3RB,RECKITT BENCK GRP
3VZ1,YAHOO/DE_3VZ1,FILMCONFECT VZ
3W9,YAHOO/DE_3W9,3W POWER
49G,YAHOO/DE_49G,GREATER CN PREC COM
4BY,YAHOO/DE_4BY,BYD ELECTRONIC
4DS,YAHOO/DE_4DS,DALDRUP&SOEHNE 
4FF,YAHOO/DE_4FF,CN RAILWAY CONS -H-
4WM,YAHOO/DE_4WM,WORLD MARKETS
5AB,YAHOO/DE_5AB,ASIAN BAMBOO
6PK,YAHOO/DE_6PK,INJEX PHARMA
75C,YAHOO/DE_75C,CHINA PACIFIC -H-
7A2,YAHOO/DE_7A2,AIA GROUP
7DM1,YAHOO/DE_7DM1,7DAYS MUSIC ENT
7KT,YAHOO/DE_7KT,KTG AGRAR
8GC,YAHOO/DE_8GC,GLENCORE XSTRAT
8GM,YAHOO/DE_8GM,GENERAL MOTORS
8GS,YAHOO/DE_8GS,CHINA SPEC GLASS
A1OS,YAHOO/DE_A1OS,ALL FOR ONE STEEB
A3E,YAHOO/DE_A3E,ARISTON REAL ESTATE
A5A,YAHOO/DE_A5A,ASKNET ELEC BUS SOL
A6R,YAHOO/DE_A6R,THOMPSON CREEK
A6T,YAHOO/DE_A6T,ARTEC TECHNOLOGIES
A7A,YAHOO/DE_A7A,ALTIRA N
A8A,YAHOO/DE_A8A,ARAGON
AAD,YAHOO/DE_AAD,AMADEUS FIRE
AAGN,YAHOO/DE_AAGN,NTT COM SEC N
AAQ,YAHOO/DE_AAQ,AAP IMPLANTATE 
AB1,YAHOO/DE_AB1,AIR BERLIN
ABE1,YAHOO/DE_ABE1,AUGUSTA TECHNOLOGIE
ABJ,YAHOO/DE_ABJ,ABB N
ABL,YAHOO/DE_ABL,ABBOTT LABORATORIES
ABR,YAHOO/DE_ABR,BARRICK GOLD
ACT,YAHOO/DE_ACT,ACTELION N 
ACWN,YAHOO/DE_ACWN,A S CREATION TAP N
ACX,YAHOO/DE_ACX,BET-AT-HOME.COM
AD2,YAHOO/DE_AD2,AIR CHINA -H-
ADD,YAHOO/DE_ADD,ADLER MODEMAERKTE
ADI1,YAHOO/DE_ADI1,ADECCO N
ADL,YAHOO/DE_ADL,ADLER REAL ESTATE
ADM,YAHOO/DE_ADM,ARCHER-DANIELS MID.
ADN1,YAHOO/DE_ADN1,ADESSO
ADS,YAHOO/DE_ADS,ADIDAS N
ADV,YAHOO/DE_ADV,ADVA OPTICAL NETWOR
AE9,YAHOO/DE_AE9,
AEI,YAHOO/DE_AEI,ALLGEIER
AFX,YAHOO/DE_AFX,CARL ZEISS MEDITEC
AGE,YAHOO/DE_AGE,AGFA-GEVAERT
AGX,YAHOO/DE_AGX,AGENNIX
AGYA,YAHOO/DE_AGYA,AGO
AINN,YAHOO/DE_AINN,AMERICAN INTL GROUP
AIXA,YAHOO/DE_AIXA,AIXTRON N
AJ3,YAHOO/DE_AJ3,ACCIONA
AJ91,YAHOO/DE_AJ91,DOCCHECK N
AJA,YAHOO/DE_AJA,ANALYTIK JENA 
ALG,YAHOO/DE_ALG,ALBIS LEASING AG
ALU,YAHOO/DE_ALU,ALCOA
ALV,YAHOO/DE_ALV,ALLIANZ N
AMG,YAHOO/DE_AMG,AMGEN
ANO,YAHOO/DE_ANO,ALNO
AOF,YAHOO/DE_AOF,ATOSS SOFTWARE
APM,YAHOO/DE_APM,AD PEPPER MEDIA
AQE,YAHOO/DE_AQE,ANHUI CONCH -H-
AR4,YAHOO/DE_AR4,AURELIUS
ARL,YAHOO/DE_ARL,AAREAL BANK
ARM,YAHOO/DE_ARM,ARM HOLDINGS
ARO,YAHOO/DE_ARO,ARCANDOR
ARRB,YAHOO/DE_ARRB,ARCELORMITTAL REG
ART,YAHOO/DE_ART,ARTNET N
AS1,YAHOO/DE_AS1,ALEO SOLAR N
ASG,YAHOO/DE_ASG,GENERALI
ATF,YAHOO/DE_ATF,ALPHAFORM 
AU2,YAHOO/DE_AU2,AGRARIUS
AUS,YAHOO/DE_AUS,AT&S AUSTRIA TECH
AV7,YAHOO/DE_AV7,AVW IMMOBILIEN
AW2,YAHOO/DE_AW2,AUTOBANK
AXA,YAHOO/DE_AXA,AXA
AYO,YAHOO/DE_AYO,ABENGOA -A-
AYO2,YAHOO/DE_AYO2,ABENGOA -B-
AZ2,YAHOO/DE_AZ2,ANDRITZ
AZC,YAHOO/DE_AZC,ADC AFRDEVC N
AZU,YAHOO/DE_AZU,EBRO FOODS
B5A,YAHOO/DE_B5A,BAUER
B7E,YAHOO/DE_B7E,BLUE CAP
B8A,YAHOO/DE_B8A,BAVARIA INDUSTR
B8F,YAHOO/DE_B8F,BIOFRONTERA N
B8Z,YAHOO/DE_B8Z,BANCO POPOLARE
BAF,YAHOO/DE_BAF,BALDA
BAS,YAHOO/DE_BAS,BASF N
BAYN,YAHOO/DE_BAYN,BAYER N
BBDB,YAHOO/DE_BBDB,BOMBARD -B- SUB VTG
BC8,YAHOO/DE_BC8,BECHTLE
