"","X.TECDAX","X_____.TecDAX._____","TSI"
"1","2HR.DE","H&R ",1.04563160586035
"2","AAD.DE","Amadeus FiRe AG",0.927045667482698
"3","AB1.DE","Air Berlin PLC & Co. Luftverkehrs KG",0.921334773736646
"4","ADV.DE","ADVA Optical Networking SE",1.06323583203849
"5","AFX.DE","Carl Zeiss Meditec AG",1.05775139632738
"6","AIXA.DE","Aixtron SE",0.762152988241001
"7","ANN.DE","DT ANNINGTON IM N",0.921334773736646
"8","AOX.DE","Alstria Office Reit-AG",0.993902163336315
"9","B5A.DE","BAUER Aktiengesellschaft",0.991065061626162
"10","BAF.DE","Balda AG",1.41586123976464
"11","BBZA.DE","BB BIOTECH N",0.762152988241001
"12","BC8.DE","Bechtle AG",1.05434988303177
"13","BDT.DE","Bertrandt AG",1.01607481699187
"14","BIO3.DE","Biotest AG",0.81901263111292
"15","BYW6.DE","BayWa AG",0.927481284905137
"16","CEV.DE","CENTROTEC Sustainable AG",0.939595510771567
"17","COK.DE","Cancom SE",1.17381202332736
"18","COM.DE","comdirect bank AG",1.02435297685789
"19","COP.DE","CompuGroup Medical AG",1.12967279618063
"20","CWC.DE","CEWE Stiftung & Co. KGaA",1.03210799134075
"21","DBAN.DE","Deutsche Beteiligungs AG Ord",1.0811898021022
"22","DEX.DE","Delticom AG",0.942722919632457
"23","DEZ.DE","Deutz AG",0.874945798388223
"24","DIC.DE","DIC ASSET N",1.06409057972708
"25","DLG.DE","Dialog Semiconductor Plc",0.812969714905581
"26","DRI.DE","Drillisch Aktiengesellschaft",0.931455948506016
"27","DRW3.DE","Dragerwerk AG & Co. KGaA",0.885614912707739
"28","EVD.DE","CTS Eventim AG",1.01587868037402
"29","EVT.DE","Evotec AG",1.02388304424207
"30","FNTN.DE","freenet AG",1.01665375247595
"31","GFK.DE","GfK SE",0.919460546883215
"32","GLJ.DE","GrenkeLeasing AG",1.13240941444905
"33","GMM.DE","Grammer AG",1.09327775208635
"34","GSC1.DE","GESCO N",1.02835440457472
"35","HAB.DE","Hamborner AG",1.02378452285193
"36","HAW.DE","Hawesko Holding AG",1.00276746774203
"37","HBH3.DE","Hornbach Holding AG",1.00276746774203
"38","HDD.DE","Heidelberger Druckmaschinen Aktiengesellschaft",0.940767403354692
"39","HHFA.DE","Hamburger Hafen und Logistik AG",0.947729256443333
"40","INH.DE","INDUS Holding AG",1.02232380038891
"41","JEN.DE","Jenoptik AG",1.07032173126468
"42","JUN3.DE","Jungheinrich AG",1.09419826178736
"43","KBC.DE","Kontron AG",0.95005177805853
"44","KGX.DE","KION GROUP",1.0772014168611
"45","KWS.DE","KWS SAAT AG",0.96067183587344
"46","LPK.DE","LPKF Laser & Electronics AG",0.905676751490096
"47","MLP.DE","MLP AG",0.929100046983784
"48","MOR.DE","Morphosys AG",0.915196273272175
"49","NDX1.DE","Nordex SE",1.13141394449906
"50","NEM.DE","Nemetschek AG",1.17672143141153
"51","O1BC.DE","XING AG",0.974915318925624
"52","O2C.DE","C.A.T. Oil AG",0.871027373460483
"53","O2D.DE","TELEFONICA DT H N",0.911542204690118
"54","P1Z.DE","Patrizia Immobilien AG",1.13147798171797
"55","PFV.DE","Pfeiffer Vacuum Technology AG",0.951768190170856
"56","PMO.DE","PRIME OFFICE REIT",1.13147798171797
"57","PSAN.DE","PSI Aktiengesellschaft f",1.05273535270981
"58","PUM.DE","PUMA SE",1.03224922885556
"59","QIA.DE","Qiagen NV",1.00017775558607
"60","QSC.DE","QSC AG",0.915990189947627
"61","S92.DE","SMA Solar Technology AG",1.24098021461385
"62","SAX.DE","Stroer",1.03018944429179
"63","SBS.DE","STRATEC Biomedical AG",1.09967139374219
"64","SFQ.DE","Saf-Holland SA",0.945884518029922
"65","SIX2.DE","Sixt Societas Europaea",1.0452367984395
"66","SKB.DE","Koenig & Bauer AG",1.12272772180099
"67","SLT.DE","Schaltbau Holding AG",1.01056394227572
"68","SOW.DE","Software AG",1.0055164260085
"69","SRT3.DE","Sartorius Aktiengesellschaft",1.09700245267786
"70","SW1.DE","SHW",0.950365501782151
"71","TIM.DE","Tipp24 SE",0.912649325404737
"72","TTI.DE","Tom Tailor Holding AG",0.737617475034916
"73","TTK.DE","Takkt AG",1.02649466988334
"74","UTDI.DE","United Internet AG",1.06213647629406
"75","VIB3.DE","Villeroy & Boch AG",0.953109849633314
"76","VOS.DE","Vossloh AG",0.934715336358084
"77","VT9.DE","VTG Aktiengesellschaft",1.05633043533878
"78","WAC.DE","Wacker Neuson SE",0.954390277750244
"79","WDI.DE","Wirecard AG",1.07787112997221
"80","ZO1.DE","zooplus AG",1.08386926178806
