Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points
ATVI, Activision Blizzard Inc,35.71,-0.56,-1.54,8356847,-0.3
ADBE, Adobe Systems Incorporated,87.85,-1.26,-1.41,2253247,-0.6
AKAM, Akamai Technologies Inc.,48.1,-0.09,-0.19,4110170,0
ALXN, Alexion Pharmaceuticals Inc.,168.13,-6.24,-3.58,1738838,-1.1
GOOG, Alphabet Inc.,714.47,-11.92,-1.64,2450112,-2.9
GOOGL, Alphabet Inc.,730.91,-10.09,-1.36,2369100,0
AMZN, Amazon.com Inc.,607.05,-0.89,-0.15,5512915,-0.4
AAL, American Airlines Group Inc.,40.37,-0.08,-0.2,8793922,0
AMGN, Amgen Inc.,150.705,-2.275,-1.49,4142628,-1.5
ADI, Analog Devices Inc.,49.98,-0.44,-0.87,3779533,-0.1
AAPL, Apple Inc.,96.96,0.51,0.53,70765970,0.4
AMAT, Applied Materials Inc.,16.79,-0.42,-2.44,30813742,-0.4
ADSK, Autodesk Inc.,55.06,-0.92,-1.64,2360166,-0.2
ADP, Automatic Data Processing Inc.,78.13,-0.65,-0.83,2465333,-0.3
AVGO, Avago Technologies Limited,128.2,-0.85,-0.66,6440353,-0.2
BIDU, Baidu Inc.,171.34,-3.03,-1.74,4665429,-0.7
BBBY, Bed Bath &amp; Beyond Inc.,46.64,0.13,0.28,6420694,0
BIIB, Biogen Inc.,280.59,-3.42,-1.2,1798054,-0.7
BMRN, BioMarin Pharmaceutical Inc.,95.75,-1.34,-1.38,1326805,0
CA, CA Inc.,26.35,-0.03,-0.11,3163425,0
CELG, Celgene Corporation,108.98,-2.91,-2.6,7363715,-1
CERN, Cerner Corporation,58.74,1.07,1.86,2950571,0.3
CHTR, Charter Communications Inc.,174.89,1.26,0.73,1681991,0.1
CHKP, Check Point Software Technologies Ltd.,76.71,-0.8,-1.03,1434344,-0.1
CSCO, Cisco Systems Inc.,24.78,-0.63,-2.48,28265431,-2.8
CTXS, Citrix Systems Inc.,69.68,-1.25,-1.76,1586027,-0.2
CTSH, Cognizant Technology Solutions Corporation,55.76,-0.88,-1.55,4908095,-0.5
CMCSA, Comcast Corporation,54.665,0.055,0.1,13990889,0.1
COST, Costco Wholesale Corporation,152.11,-2.71,-1.75,3156190,-1
CTRP, Ctrip.com International Ltd.,45.03,-0.22,-0.49,3762256,0
DISCA, Discovery Communications Inc.,26.01,0.53,2.08,2859668,0.1
DISCK, Discovery Communications Inc.,25,0.68,2.8,3231747,0
DISH, DISH Network Corporation,53.81,-1.05,-1.91,1634833,-0.2
DLTR, Dollar Tree Inc.,77.79,-0.66,-0.84,3362910,-0.1
EBAY, eBay Inc.,25.75,0.06,0.23,11115098,0.1
EA, Electronic Arts Inc.,63.13,0.67,1.07,3882551,0
ENDP, Endo International plc,53.78,-2.58,-4.58,4011656,0
EXPE, Expedia Inc.,111.41,-3.4,-2.96,2441612,-0.3
ESRX, Express Scripts Holding Company,85.74,-0.1,-0.12,3974318,-0.1
FB, Facebook Inc.,97.33,-0.59,-0.6,35357373,-1
FAST, Fastenal Company,38.8,-0.25,-0.64,2981286,-0.1
FISV, Fiserv Inc.,87.53,-0.68,-0.77,1495823,-0.2
GILD, Gilead Sciences Inc.,96.45,0.2,0.21,11944365,0.3
HSIC, Henry Schein Inc.,150.28,-1.39,-0.92,641800,-0.1
ILMN, Illumina Inc.,165.17,-2.55,-1.52,1632418,-0.3
INCY, Incyte Corporation,94.78,-0.98,-1.02,1668618,0
INTC, Intel Corporation,31.51,-0.33,-1.04,29700424,-1.4
INTU, Intuit Inc.,93.14,-1.3,-1.38,1977519,-0.3
ISRG, Intuitive Surgical Inc.,536.54,-0.36,-0.07,335801,0
JD, JD.com Inc.,27.62,-0.33,-1.18,15074854,0
KLAC, KLA-Tencor Corporation,65.24,-0.7,-1.06,1668222,-0.1
LRCX, Lam Research Corporation,70.48,-1.23,-1.72,4705335,0
LBTYA, Liberty Global plc,38.2,-1,-2.55,2558855,-0.2
LBTYK, Liberty Global plc,36.91,-0.84,-2.23,3740252,0
LVNTA, Liberty Interactive Corporation,40.8,-0.6,-1.45,870300,0
QVCA, Liberty Interactive Corporation,25.02,-0.37,-1.46,3538849,0
LMCA, Liberty Media Corporation,36.59,-0.51,-1.37,808835,-0.1
LMCK, Liberty Media Corporation,35.42,-0.3,-0.84,671958,0
LLTC, Linear Technology Corporation,38.71,-0.48,-1.22,2903790,-0.1
MAR, Marriott International,62.65,0.83,1.34,4465931,0.2
MAT, Mattel Inc.,26.93,-0.13,-0.48,6241012,0
MXIM, Maxim Integrated Products Inc.,32.33,-1.93,-5.63,8177936,-0.5
MU, Micron Technology Inc.,13.33,-0.33,-2.42,28893103,-0.3
MSFT, Microsoft Corporation,52.33,0.16,0.31,48297272,1.2
MDLZ, Mondelez International Inc.,40.99,-0.6,-1.44,14404575,-0.9
MNST, Monster Beverage Corporation,144.25,-0.95,-0.65,831928,-0.1
MYL, Mylan N.V.,49.42,-2.19,-4.24,7187153,-0.7
NTAP, NetApp Inc.,23,-0.37,-1.58,4223410,-0.1
NFLX, Netflix Inc.,111.39,-3.17,-2.77,18067140,-0.2
NCLH, Norwegian Cruise Line Holdings Ltd.,55.07,-0.65,-1.17,1126247,0
NVDA, NVIDIA Corporation,29.63,-0.65,-2.15,9843824,-0.3
NXPI, NXP Semiconductors N.V.,75.18,-0.82,-1.08,6958497,-0.2
ORLY, O'Reilly Automotive Inc.,234.66,-5.51,-2.29,880040,-0.5
PCAR, PACCAR Inc.,45.23,-0.52,-1.14,2771652,-0.2
PAYX, Paychex Inc.,47.56,-0.87,-1.8,5384313,-0.3
PYPL, PayPal Holdings Inc.,32.69,-0.44,-1.33,7799408,0
QCOM, QUALCOMM Incorporated,45.87,-0.27,-0.59,14360280,-0.4
REGN, Regeneron Pharmaceuticals Inc.,491.68,-10.28,-2.05,790127,-0.9
ROST, Ross Stores Inc.,52.1,-1.66,-3.09,2830863,-0.3
SNDK, SanDisk Corporation,74.2,-0.77,-1.03,2913863,-0.2
SBAC, SBA Communications Corporation,101.64,-0.95,-0.93,997199,-0.1
STX, Seagate Technology PLC,32.54,-2,-5.79,9765120,-0.6
SIRI, Sirius XM Holdings Inc.,3.81,-0.03,-0.78,29557900,-0.2
SWKS, Skyworks Solutions Inc.,66.89,-0.27,-0.4,7140557,0
SBUX, Starbucks Corporation,56.63,-0.06,-0.11,10342032,0
SRCL, Stericycle Inc.,118.24,-1.27,-1.06,646298,-0.1
SYMC, Symantec Corporation,20.49,-0.01,-0.05,7046397,0
TMUS, T-Mobile US Inc.,39.88,-0.63,-1.56,3483445,0
TSLA, Tesla Motors Inc.,211,-4.65,-2.16,3627649,-0.5
TXN, Texas Instruments Incorporated,50.36,-1.34,-2.59,9558882,-1.3
KHC, The Kraft Heinz Company,71.18,-0.72,-1,3072930,0
PCLN, The Priceline Group Inc.,1136.96,-30.23,-2.59,1017500,-1.4
TSCO, Tractor Supply Company,81.86,-0.62,-0.75,1370926,-0.1
TRIP, TripAdvisor Inc.,76.18,-1.51,-1.94,1436575,-0.2
FOX, Twenty-First Century Fox Inc.,25.93,0.01,0.04,4238172,0
FOXA, Twenty-First Century Fox Inc.,25.89,0,0,11345352,0
ULTA, Ulta Salon Cosmetics &amp; Fragrance Inc.,182.17,-0.81,-0.44,847551,0
VRSK, Verisk Analytics Inc.,73.37,0.33,0.45,1246459,0.1
VRTX, Vertex Pharmaceuticals Incorporated,110.71,-4.25,-3.7,1811054,-0.9
VIAB, Viacom Inc.,40.98,2.09,5.37,6510421,0.7
VOD, Vodafone Group Plc,32.54,0.91,2.88,8664633,0.4
WBA, Walgreens Boots Alliance Inc.,81.05,-0.12,-0.15,9334749,0
WDC, Western Digital Corporation,55.39,-2.44,-4.22,3815267,-0.5
WFM, Whole Foods Market Inc.,31.975,-0.525,-1.62,3988312,-0.2
XLNX, Xilinx Inc.,42.93,-0.9,-2.05,4017536,-0.2
YHOO, Yahoo! Inc.,30.63,0.47,1.56,26225472,0.4
