Ticker,Name
^TECDAX,_____ TecDAX _____
ADV.DE,ADVA Optical Networking SE
AFX.DE,Carl Zeiss Meditec AG
AIXA.DE,Aixtron SE
BBZA.DE,BB BIOTECH N
BC8.DE,Bechtle AG
COK.DE,Cancom SE
COP.DE,CompuGroup Medical AG
DLG.DE,Dialog Semiconductor Plc
DRI.DE,Drillisch Aktiengesellschaft
DRW3.DE,Dragerwerk AG & Co. KGaA
EVT.DE,Evotec AG
FNTN.DE,freenet AG
JEN.DE,Jenoptik AG
KBC.DE,Kontron AG
LPK.DE,LPKF Laser & Electronics AG
MOR.DE,Morphosys AG
NDX1.DE,Nordex SE
NEM.DE,Nemetschek AG
O1BC.DE,XING AG
O2D.DE,TELEFONICA DT H N
PFV.DE,Pfeiffer Vacuum Technology AG
PSAN.DE,PSI Aktiengesellschaft f
QIA.DE,Qiagen NV
QSC.DE,QSC AG
S92.DE,SMA Solar Technology AG
SBS.DE,STRATEC Biomedical AG
SOW.DE,Software AG
SRT3.DE,Sartorius Aktiengesellschaft
UTDI.DE,United Internet AG
WDI.DE,Wirecard AG
^SDAXI,_____ SDAX _____
2HR.DE,H&R 
AAD.DE,Amadeus FiRe AG
AB1.DE,Air Berlin PLC & Co. Luftverkehrs KG
ANN.DE,DT ANNINGTON IM N
AOX.DE,Alstria Office Reit-AG
B5A.DE,BAUER Aktiengesellschaft
BAF.DE,Balda AG
BDT.DE,Bertrandt AG
BIO3.DE,Biotest AG
BYW6.DE,BayWa AG
CEV.DE,CENTROTEC Sustainable AG
COM.DE,comdirect bank AG
CWC.DE,CEWE Stiftung & Co. KGaA
DBAN.DE,Deutsche Beteiligungs AG Ord
DEX.DE,Delticom AG
DEZ.DE,Deutz AG
DIC.DE,DIC ASSET N
EVD.DE,CTS Eventim AG
GFK.DE,GfK SE
GLJ.DE,GrenkeLeasing AG
GMM.DE,Grammer AG
GSC1.DE,GESCO N
HAB.DE,Hamborner AG
HAW.DE,Hawesko Holding AG
HBH3.DE,Hornbach Holding AG
HDD.DE,Heidelberger Druckmaschinen Aktiengesellschaft
HHFA.DE,Hamburger Hafen und Logistik AG
INH.DE,INDUS Holding AG
JUN3.DE,Jungheinrich AG
KGX.DE,KION GROUP
KWS.DE,KWS SAAT AG
MLP.DE,MLP AG
O2C.DE,C.A.T. Oil AG
P1Z.DE,Patrizia Immobilien AG
PMO.DE,PRIME OFFICE REIT
PUM.DE,PUMA SE
SAX.DE,Stroer
SFQ.DE,Saf-Holland SA
SIX2.DE,Sixt Societas Europaea
SKB.DE,Koenig & Bauer AG
SLT.DE,Schaltbau Holding AG
SW1.DE,SHW
TIM.DE,Tipp24 SE
TTI.DE,Tom Tailor Holding AG
TTK.DE,Takkt AG
VIB3.DE,Villeroy & Boch AG
VOS.DE,Vossloh AG
VT9.DE,VTG Aktiengesellschaft
WAC.DE,Wacker Neuson SE
ZO1.DE,zooplus AG
